Federal Provider Number,Percentage of high risk long-stay residents with pressure ulcers,Percentage of long-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long-stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of long-stay residents experiencing one or more falls with major injury,Percentage of long-stay residents who have depressive symptoms,Percentage of long-stay residents who lose too much weight,Percentage of long-stay residents who received an antianxiety or hypnotic medication,Percentage of long-stay residents who received an antipsychotic medication,Percentage of long-stay residents who were physically restrained,Percentage of long-stay residents whose ability to move independently worsened,Percentage of long-stay residents whose need for help with daily activities has increased,Percentage of long-stay residents with a catheter inserted and left in their bladder,Percentage of long-stay residents with a urinary tract infection,Percentage of low risk long-stay residents who lose control of their bowels or bladder,Percentage of short-stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short-stay residents who made improvements in function,Percentage of short-stay residents who newly received an antipsychotic medication,Percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine
165557,4.444443,100.0,96.923077,0.0,3.389831,0.0,2.702703,5.882355,0.0,9.853809,10.810811,0.0,1.666667,60.000002,83.796296,93.226289,4.761903,83.5
165559,4.347825,100.0,100.0,5.6122440000000005,5.681817,0.757575,29.834253000000004,15.789476,0.0,19.002405,11.864406,0.0,7.4829940000000015,34.722223,100.0,85.54780699999998,0.0,100.0
165561,6.493506,100.0,100.0,6.3106800000000005,10.256411,6.7669169999999985,17.605635,10.731707,0.0,34.218915,18.439715,0.0,4.0816300000000005,61.728396,95.50562,95.470243,1.960784,76.377953
165565,2.362205,100.0,96.311475,0.985221,1.075268,8.450706,11.731844,10.552763,0.0,19.721285,25.903614,1.585754,1.212122,71.830986,97.446808,69.48734,0.571429,88.888889
165567,1.282051,98.148148,98.518519,0.0,0.961539,10.34483,15.384614,0.0,0.0,33.863266,19.607843,1.45213,5.494506,63.414633,100.0,73.869879,0.0,78.4375
165568,0.0,90.29126,100.0,4.8543699999999985,4.040406,3.370785,27.472529,27.184467,0.0,27.933659,9.890108,0.0,4.950494,62.745098,87.878788,81.00268,5.000001,100.0
165569,8.450706,100.0,100.0,8.421053,16.666665,9.411764,10.227272,6.666668,0.0,30.362541,20.689656,0.580404,2.173912,52.499998,100.0,84.131289,1.7857150000000002,100.0
165575,8.666666000000001,79.425837,93.162393,4.30622,0.0,1.685393,18.131869,8.040201,0.0,9.883104,2.197801,0.0,0.487806,51.351352,81.825275,73.24541500000002,0.682592,73.299195
165577,0.961538,100.0,100.0,9.93789,1.898735,2.564103,4.72441,6.874999000000001,0.0,21.421521,23.200001,1.917273,4.6357599999999985,50.769231,100.0,75.46189,0.0,96.453901
165578,5.882354,61.739128,88.065844,1.7391299999999998,0.0,7.777778,22.110552,12.999999,0.0,46.619503,42.690058,3.706039,3.669723,14.814814000000002,18.309861,62.047769,0.0,20.666667
165580,6.355931,99.348534,99.710983,0.0,0.358423,5.3719,14.785992000000002,4.234526,0.0,42.913862,23.828123,2.56467,0.342466,67.114092,94.0,66.953299,0.956938,92.993631
165583,16.666666,78.160917,91.666667,3.448274,3.896105,3.333334,20.0,13.793103,0.0,20.355853,17.460316,12.267782,7.317075999999999,73.333333,81.454549,68.800952,0.0,80.769231
165584,0.0,100.0,96.015936,7.563026,1.2987030000000002,1.714286,12.499999,20.264317,0.0,21.514902,23.036649,1.949323,3.619911,38.961039,98.93617,94.760602,3.921568,6.976744
165585,7.017546,37.288133,85.283019,1.6949150000000002,16.355141,8.597288,21.982759,17.525775,0.0,21.597812,18.85965,6.215624,2.654865,40.259739,24.836603,86.977436,3.703703,43.312102
165587,14.000001,99.32886,96.276596,2.684566,2.158275,6.944446000000001,9.52381,3.355706,0.0,21.372843,30.935254,2.0439580000000004,10.27397,28.787878000000006,98.148147,61.224094,4.081633,76.785714
165589,3.030303,99.502489,88.014981,5.970148,8.064513999999999,9.467454,19.270832,10.152285,0.0,14.885310999999998,20.320856,0.5797720000000001,2.259886,75.925927,90.123459,92.570857,2.77778,83.870968
165590,0.0,99.401197,99.431818,5.988024,1.807227,0.666667,5.1948050000000014,5.389222,0.0,13.822423,23.376627,0.0,0.6134970000000001,40.000002,86.440678,78.855186,0.0,98.550725
165591,0.0,98.823531,100.0,5.294114,0.5988020000000001,5.3030300000000015,24.444446,11.176471,0.0,21.555704,16.541352,3.949121,4.1916150000000005,65.217393,97.109827,69.841166,0.0,67.039106
165592,3.333333,93.457944,100.0,5.6074769999999985,3.883495,6.730767,18.867925,24.210526,0.0,27.819393,12.500001,0.0,0.952381,58.461541,76.666666,76.694887,0.0,81.37254899999998
165593,0.0,100.0,100.0,3.488371,2.3529400000000003,6.5789490000000015,19.480521,5.813954,0.0,19.500351,7.792208,2.740377,0.0,40.000002,100.0,74.395761,0.0,100.0
165594,4.918032,100.0,100.0,4.000001,0.0,3.649635,20.437955,4.729732,0.666666,7.035591,9.160307,6.079837,0.666666,38.297872,100.0,100.0,0.0,92.727273
165597,3.225808,100.0,100.0,3.79747,1.282052,5.084747,12.499999,10.126583,0.0,30.164023,17.1875,0.0,1.351351,90.000001,100.0,79.719353,0.226244,99.82699
165599,5.217391,100.0,100.0,3.763443,0.5464479999999999,3.389828,13.96648,11.797755,0.0,30.803783000000006,17.714288,1.0811540000000002,11.956525,29.62963,99.236642,90.83633,1.980198,96.396396
165601,10.857145,75.268816,91.362126,3.225808,0.7604569999999999,9.523809,20.542634,9.689922,0.0,5.496606,1.937984,0.0,4.395603,41.578945,82.105263,77.447486,2.189779,74.688057
165602,4.87805,94.60581,94.96124,6.224068,3.896104,9.302325,13.852812,8.733622,0.0,33.959206,34.234234,4.5009510000000015,0.0,33.333332,63.736263,76.679201,2.222222,71.296296
165604,3.030304,100.0,100.0,2.027026,0.0,5.882352,4.166666,8.219178999999999,0.0,31.420932,21.666667,1.3446,2.721087,46.938773,98.7013,87.13834200000002,0.0,100.0
165605,6.153846,100.0,100.0,6.081082,2.739726,2.752294,10.000001,8.333335,0.0,25.810068,9.174312,3.83771,2.040817,27.536232,96.226418,77.047662,0.0,94.230769
165606,4.729731,99.115044,92.307692,3.9823,4.1474660000000005,4.3956040000000005,22.872341,33.333332,0.0,32.044292,22.905024,1.085319,0.456622,47.77778,94.827586,56.091846,10.204082,65.217391
165607,11.920532,99.563319,90.458015,3.49345,4.784686,6.8062809999999985,12.690355,13.537118,0.0,25.336454,13.157897,0.0,2.702704,69.81132,96.42857,89.834429,0.0,13.265306
165609,2.12766,100.0,100.0,0.0,0.0,0.0,15.384615,5.555555,0.0,11.007193,9.230768,0.0,1.4285709999999998,24.999999,96.842104,94.633855,0.0,94.827586
165610,6.542055,100.0,100.0,0.0,4.316549,6.060608,18.867924,5.714286,0.0,20.973857,7.843139999999999,0.770177,0.75188,49.206349,100.0,85.674678,0.0,100.0
165612,2.047781,94.050989,95.511222,3.682718,5.263156,4.651163,19.407894,23.782233,5.382438,31.985576,10.034603,0.0,2.285717,55.000001,77.3399,81.983602,4.166667,71.945701
165613,2.105263,100.0,100.0,5.833332,0.892856,8.139534,13.333332,2.500001,0.0,39.477537,19.101123,4.569891,4.3103440000000015,24.13793,100.0,96.307226,0.0,99.0
