Federal Provider Number,Number of hospitalizations per 1000 long-stay resident days,Number of outpatient emergency department visits per 1000 long-stay resident days,Percentage of short-stay residents who had an outpatient emergency department visit,Percentage of short-stay residents who were rehospitalized after a nursing home admission
015221,1.078192,1.219842,21.373642,18.475052
015222,1.530434,1.180664,13.970492000000002,30.889991
015223,1.928965,1.137458,15.879322,24.406323
015225,1.648654,0.425018,9.872806,23.91298
015227,1.469769,1.020927,16.589387,28.732537
015228,1.537481,0.275575,2.611494,15.494877
015315,0.8735299999999999,0.0,4.432918,12.03206
015320,1.3955879999999998,0.8412440000000001,13.742729,16.891685
015321,0.6623600000000001,0.07079500000000001,10.650071,22.264791
015322,1.222332,3.00502,13.524072,20.947527
015326,2.5316110000000003,1.209419,12.035429,27.70726
015331,3.107239,1.715172,10.815395,29.633533
015336,1.14462,0.622058,14.894554,20.21863
015369,1.982064,0.54059,10.378003,39.692182
015371,2.208757,0.355162,5.595246,24.153299
015372,1.8112,0.49678,16.882331,33.585088
015373,2.306095,1.05214,6.745838000000001,17.556964999999998
015375,1.656822,1.113499,10.073387,23.367878
015376,2.049655,1.6701259999999998,12.526673,28.475832
015378,1.840102,1.531017,13.096751,10.937286
015379,1.843172,0.26431,7.536356,33.864449
015381,0.644541,0.310241,5.853957,34.184312
015382,1.701361,0.981801,12.010576,13.837966
015383,1.249815,0.483098,11.026012,37.267477
015388,1.515226,0.458914,7.5234960000000015,21.850552
015390,1.8733,0.6508470000000001,9.871618,18.697374
015391,1.150328,0.48148,8.868171,25.637006
015392,1.96347,1.189874,7.008281,17.977557
015393,0.909212,0.715525,10.526671,13.814758
015396,1.508325,0.469581,0.0,18.143834
015397,1.341348,1.040851,19.134713,24.027857
015398,1.336842,1.253138,14.878453,7.929353999999999
015403,2.199072,0.806415,13.68279,32.629942
015408,2.140546,1.466959,7.9165990000000015,26.230231
015411,0.929171,0.6655369999999999,9.617366,22.61383
015413,2.182399,1.278303,15.298748000000002,16.58069
015414,2.554094,1.479156,8.712394999999999,22.997838
015416,2.60109,1.706705,14.430210999999998,36.390017
015417,2.469847,1.449574,13.251981,20.952901
015419,1.989308,0.802542,7.124024,27.307673
015420,2.010316,1.874826,15.859813,17.894560000000006
015422,2.765184,1.985978,3.537039,26.332337
015423,2.462185,0.300895,13.955602,34.506439
015425,0.980204,0.42602,4.844974,16.396478
015429,2.222795,1.130467,9.147426,38.33469
015431,2.196228,1.987424,16.363851999999998,26.029146
015433,1.974711,0.7449680000000001,6.784049,37.334389
015434,1.2211040000000002,0.704308,16.299079000000006,27.002348
015436,1.247742,0.6037560000000001,4.9423879999999984,27.042689000000006
015437,0.749371,0.425098,4.501746,26.768142
