Federal Provider Number,Code B,Code C,Code D,Code E,Code F,Code G,Code H,Code I,Code J,Code K,Code L
015138,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015139,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015141,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015142,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015143,0.0,1.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015144,0.0,1.0,12.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0
015145,0.0,0.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
015147,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015148,0.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015149,0.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015150,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015151,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015152,0.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
015153,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015154,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015155,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015156,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015157,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015158,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015159,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015160,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015162,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015163,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015164,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015166,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015167,0.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015168,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015169,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015171,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015174,0.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
015175,0.0,2.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015176,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015177,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015178,0.0,0.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015179,0.0,2.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015180,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015182,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015183,0.0,0.0,17.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
015184,0.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
015186,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015187,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015188,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015189,0.0,3.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
015191,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015192,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015193,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015194,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015195,0.0,1.0,15.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
015196,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015197,0.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015199,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015200,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015201,0.0,0.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015202,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015203,0.0,1.0,14.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0
015204,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015206,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015207,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015208,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015209,0.0,0.0,12.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
015210,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
015211,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
015212,0.0,0.0,13.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
015213,0.0,1.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
015214,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
015215,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
